,ID,Name,Department,Major/Minor,Date,Frequency,2023/1,2023/2,2023/3,2023/4,2023/5,2023/6,2023/7,2023/8,2023/9,2023/10,2023/11,2023/12
101,NU-01,Water heating bath,Molecular Biology,Major,2023/02,12,,True,,,,,,,,,,
102,PP-01,Multichannel Pipette (5-50uL),Molecular Biology,Minor,2021/05,12,,,,,,,,,,,,
103,PP-02,Pipette 10-100uL,Molecular Biology,Minor,2023/05,12,,,,,True,,,,,,,
104,PP-03,Multichannel Pipette (30-300uL),Molecular Biology,Minor,2023/05,12,,,,,True,,,,,,,
105,PP-04,Multichannel Pipette (5-100uL),Molecular Biology,Minor,2023/05,12,,,,,True,,,,,,,
106,PP-05,Multichannel Pipette (5-50uL),Molecular Biology,Minor,2023/05,12,,,,,True,,,,,,,
107,TH-01,Thermo-hygrometer,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
108,TH-02,Thermo-hygrometer,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
109,TH-03,Thermo-hygrometer,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
110,TH-04,Thermo-hygrometer,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
111,TL-07,Refrigerator -20oC,Molecular Biology,Major,2023/02,12,,True,,,,,,,,,,
112,TP-01,Tempmate-M1 temperature data logger,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
113,TP-02,Tempmate-M1 temperature data logger,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
114,TP-03,Tempmate-M1 temperature data logger,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
115,TP-04,Temperature USB Datalogger ,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
116,TP-05,Temperature USB Datalogger ,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
117,VT-01,Mini vortexer,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
118,VT-02,Vortexter,Molecular Biology,Minor,2023/02,12,,True,,,,,,,,,,
119,AK-03,Thermal hygrometer,R&D,Minor,2023/05,12,,,,,True,,,,,,,
120,F2-PP10,Pipette 1-10ul,R&D,Minor,2023/05,12,,,,,True,,,,,,,
121,F2-PP1000,Pipette 100-1000ul,R&D,Minor,2023/05,12,,,,,True,,,,,,,
122,F2-PP200,Pipette 20-200ul,R&D,Minor,2023/05,12,,,,,True,,,,,,,
123,MP01,Máy lắc Microplate,R&D,Minor,2023/04,12,,,,True,,,,,,,,
124,AKĐT-2,Electronic hygrometer,Warehouse,Minor,2023/02,12,,True,,,,,,,,,,
125,KHO-01,Cold warehouse,Warehouse,Major,2023/02,12,,True,,,,,,,,,,
126,NKĐT-1,Electronic thermometer,Warehouse,Minor,2023/02,12,,True,,,,,,,,,,
127,TL-012,Refrigerator HAIER,Warehouse,Major,2023/04,12,,,,True,,,,,,,,
